Location Code,Region Code,Bldg Address1,Bldg Address2,Bldg City,Bldg County,Bldg State,Bldg Zip,Congressional District,Bldg Status,Property Type,Bldg ANSI Usable,Total Parking Spaces,Owned/Leased,Construction Date,Historical Type,Historical Status,ABA Accessibility Flag 
CT0013,"1","135 HIGH ST"," ","HARTFORD","HARTFORD",CT,061031125,1,ACTIVE,BUILDING,97884,29,OWNED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
CT0024,"1","141 CHURCH ST","U.S. COURTHOUSE","NEW HAVEN","NEW HAVEN",CT,065102001,3,ACTIVE,BUILDING,69037,0,OWNED,01-Jan-1919,Field Not In Use,National Register Listed,Will Conform
CT0047,"1","135 GRAND ST"," ","WATERBURY","NEW HAVEN",CT,067029998,5,ACTIVE,BUILDING,7442,2,LEASED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
CT0049,"1","919 MAIN STREET"," ","WILLIMANTIC","WINDHAM",CT,062269998,2,ACTIVE,BUILDING,198,0,LEASED,01-Jan-1911,Field Not In Use,Not Evaluated,Will Conform
CT0053,"1","450 MAIN ST"," ","HARTFORD","HARTFORD",CT,061033022,1,ACTIVE,BUILDING,203489,103,OWNED,01-Jan-1963,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0059,"1","915 LAFAYETTE BLVD"," ","BRIDGEPORT","FAIRFIELD",CT,066044706,4,ACTIVE,BUILDING,86870,131,OWNED,01-Jan-1967,Field Not In Use,Not Evaluated,Will Conform
CT0060,"1","LITCHFIELD ST"," ","TORRINGTON","LITCHFIELD",CT,067906407,5,ACTIVE,BUILDING,5052,5,OWNED,01-Jan-1969,Field Not In Use,Not Evaluated,Will Conform
CT0061,"1","150 COURT ST"," ","NEW HAVEN","NEW HAVEN",CT,065102022,3,ACTIVE,BUILDING,83741,74,OWNED,01-Jan-1977,Field Not In Use,Not Evaluated,Will Conform
CT3316,"1","130 DARLIN ST"," ","EAST HARTFORD","HARTFORD",CT,061083234,1,ACTIVE,BUILDING,34889,159,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3319,"1","101 BROAD ST"," ","STAMFORD","FAIRFIELD",CT,069012797,4,ACTIVE,BUILDING,5020,8,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3322,"1","425 MAIN STREET"," ","MIDDLETOWN","MIDDLESEX",CT,064573347,3,ACTIVE,BUILDING,5045,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3323,"1","333 E RIVER DR"," ","EAST HARTFORD","HARTFORD",CT,061084200,1,ACTIVE,BUILDING,16418,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3326,"1","55 WHITNEY AVE"," ","NEW HAVEN","NEW HAVEN",CT,065101300,3,ACTIVE,BUILDING,3293,5,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3331,"1","157 CHURCH ST"," ","NEW HAVEN","NEW HAVEN",CT,065102100,3,ACTIVE,BUILDING,96834,43,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3339,"1","3885 MAIN STREET"," ","BRIDGEPORT","FAIRFIELD",CT,066062814,4,ACTIVE,BUILDING,8230,15,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3341,"1","265 CHURCH ST"," ","NEW HAVEN","NEW HAVEN",CT,065107013,3,ACTIVE,BUILDING,16070,25,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3351,"1","628 HEBRON AVE","BUILDING 2","GLASTONBURY","HARTFORD",CT,060335007,1,ACTIVE,BUILDING,7000,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3354,"1","530 PRESTON AVENUE"," ","MERIDEN","NEW HAVEN",CT,064504893,5,ACTIVE,BUILDING,11727,39,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3358,"1","2 SHAW'S COVE"," ","NEW LONDON","NEW LONDON",CT,063204975,2,ACTIVE,BUILDING,10106,28,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3360,"1","1000 LAFAYETTE BLVD","10TH FLOOR","BRIDGEPORT","FAIRFIELD",CT,066044725,4,ACTIVE,BUILDING,31055,100,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3362,"1","213 COURT ST"," ","MIDDLETOWN","MIDDLESEX",CT,064573346,3,ACTIVE,BUILDING,1950,11,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3363,"1","904 POQUONNOCK RD"," ","GROTON","NEW LONDON",CT,063404259,2,ACTIVE,BUILDING,1507,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3369,"1","20 CHURCH ST"," ","HARTFORD","HARTFORD",CT,061033290,1,ACTIVE,BUILDING,21432,9,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3373,"1","101 PITKIN ST"," ","EAST HARTFORD","HARTFORD",CT,061083316,1,ACTIVE,BUILDING,12906,28,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3375,"1","600 STATE STREET"," ","NEW HAVEN","NEW HAVEN",CT,065116505,3,ACTIVE,BUILDING,78826,220,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3376,"1","131 WEST ST"," ","DANBURY","FAIRFIELD",CT,068106376,5,ACTIVE,BUILDING,8439,1,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3387,"1","1 WEST MAIN STREET"," ","MERIDEN","NEW HAVEN",CT,064514128,5,ACTIVE,BUILDING,6370,12,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3389,"1","344 MERROW RD"," ","TOLLAND","TOLLAND",CT,060843917,2,ACTIVE,BUILDING,13995,52,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3393,"1","10 COLUMBUS BLVD"," ","HARTFORD","HARTFORD",CT,061061976,1,ACTIVE,BUILDING,5198,8,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3395,"1","334 ELLA GRASSO TURNPIKE"," ","WINDSOR LOCKS","HARTFORD",CT,060961042,1,ACTIVE,BUILDING,11825,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3398,"1","1320 MAIN ST"," ","WILLIMANTIC","WINDHAM",CT,062261940,2,ACTIVE,BUILDING,6065,25,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3400,"1","5 SHAWS CV","Suite 206","NEW LONDON","NEW LONDON",CT,063204974,2,ACTIVE,BUILDING,1137,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3402,"1","1 CHELSEA ST"," ","NEW LONDON","NEW LONDON",CT,063205506,2,ACTIVE,BUILDING,47200,164,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3403,"1","960 MAIN ST"," ","HARTFORD","HARTFORD",CT,061031224,1,ACTIVE,BUILDING,22050,10,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3408,"1","6 ARMSTRONG RD"," ","SHELTON","FAIRFIELD",CT,064844722,4,ACTIVE,BUILDING,14392,62,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3409,"1","TWEED AIRPORT"," ","NEW HAVEN","NEW HAVEN",CT,065123907,3,ACTIVE,BUILDING,459,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
